pergunta,artigos_relevantes_esperados,artigos_encontrados,precision_at_5,recall_at_10,f1_score,tempo_resposta
O que é a Lei de Acesso à Informação?,"['ARTIGO_1', 'ARTIGO_2', 'PREAMBULO']","['ARTIGO_46', 'ARTIGO_38', 'ARTIGO_43', 'ARTIGO_5', 'ARTIGO_20', 'ARTIGO_44', 'ARTIGO_3', 'ARTIGO_25', 'ARTIGO_22', 'ARTIGO_36']",0.0,0.0,0.0,0.07851576805114746
Como solicitar informações públicas?,"['ARTIGO_10', 'ARTIGO_11', 'ARTIGO_12']","['ARTIGO_36', 'ARTIGO_14', 'ARTIGO_9', 'ARTIGO_5', 'ARTIGO_10', 'ARTIGO_18', 'ARTIGO_38', 'ARTIGO_19', 'ARTIGO_21', 'ARTIGO_26']",0.2,0.3333333333333333,0.25,0.042014360427856445
Qual o prazo para resposta do pedido de informação?,"['ARTIGO_11', 'ARTIGO_15', 'ARTIGO_16']","['ARTIGO_15', 'ARTIGO_38', 'ARTIGO_10', 'ARTIGO_28', 'ARTIGO_42', 'ARTIGO_11', 'ARTIGO_18', 'ARTIGO_14', 'ARTIGO_29', 'ARTIGO_17']",0.2,0.6666666666666666,0.30769230769230765,0.03851175308227539
Quais informações podem ser negadas?,"['ARTIGO_21', 'ARTIGO_22', 'ARTIGO_23', 'ARTIGO_24']","['ARTIGO_36', 'ARTIGO_34', 'ARTIGO_20', 'ARTIGO_10', 'ARTIGO_21', 'ARTIGO_46', 'ARTIGO_18', 'ARTIGO_8', 'ARTIGO_30', 'ARTIGO_31']",0.2,0.25,0.22222222222222224,0.034996986389160156
Quem pode solicitar informações públicas?,"['ARTIGO_10', 'ARTIGO_11']","['ARTIGO_36', 'ARTIGO_9', 'ARTIGO_14', 'ARTIGO_10', 'ARTIGO_18', 'ARTIGO_38', 'ARTIGO_21', 'ARTIGO_19', 'ARTIGO_5', 'ARTIGO_25']",0.2,0.5,0.28571428571428575,0.04152965545654297
Quais são as informações classificadas como sigilosas?,"['ARTIGO_23', 'ARTIGO_24', 'ARTIGO_25']","['ARTIGO_36', 'ARTIGO_25', 'ARTIGO_34', 'ARTIGO_26', 'ARTIGO_22', 'ARTIGO_30', 'ARTIGO_37', 'ARTIGO_45', 'ARTIGO_5', 'ARTIGO_31']",0.2,0.3333333333333333,0.25,0.04999804496765137
Quais são as penalidades para quem não cumprir a LAI?,"['ARTIGO_32', 'ARTIGO_33', 'ARTIGO_34']","['ARTIGO_36', 'ARTIGO_43', 'ARTIGO_46', 'ARTIGO_44', 'ARTIGO_45', 'ARTIGO_20', 'ARTIGO_34', 'ARTIGO_38', 'ARTIGO_2', 'ARTIGO_33']",0.0,0.6666666666666666,0.0,0.03852701187133789
Como recorrer de uma negativa de acesso à informação?,"['ARTIGO_15', 'ARTIGO_16', 'ARTIGO_17']","['ARTIGO_14', 'ARTIGO_15', 'ARTIGO_5', 'ARTIGO_13', 'ARTIGO_21', 'ARTIGO_38', 'ARTIGO_25', 'ARTIGO_34', 'ARTIGO_17', 'ARTIGO_126']",0.2,0.6666666666666666,0.30769230769230765,0.033998966217041016
Quais são os prazos de sigilo das informações?,"['ARTIGO_24', 'ARTIGO_27', 'ARTIGO_28']","['ARTIGO_36', 'ARTIGO_34', 'ARTIGO_25', 'ARTIGO_22', 'ARTIGO_18', 'ARTIGO_26', 'ARTIGO_30', 'ARTIGO_28', 'ARTIGO_29', 'ARTIGO_8']",0.0,0.3333333333333333,0.0,0.033005714416503906
Como a LAI protege informações pessoais?,"['ARTIGO_31', 'ARTIGO_32']","['ARTIGO_36', 'ARTIGO_38', 'ARTIGO_22', 'ARTIGO_25', 'ARTIGO_44', 'ARTIGO_5', 'ARTIGO_34', 'ARTIGO_43', 'ARTIGO_14', 'ARTIGO_21']",0.0,0.0,0.0,0.043521881103515625
Quais são os princípios da Lei de Acesso à Informação?,"['ARTIGO_3', 'ARTIGO_5', 'ARTIGO_6']","['ARTIGO_5', 'ARTIGO_36', 'ARTIGO_46', 'ARTIGO_20', 'ARTIGO_45', 'ARTIGO_3', 'ARTIGO_43', 'ARTIGO_44', 'ARTIGO_38', 'ARTIGO_25']",0.2,0.6666666666666666,0.30769230769230765,0.055002450942993164
O que são informações sigilosas segundo a LAI?,"['ARTIGO_4', 'ARTIGO_23', 'ARTIGO_24']","['ARTIGO_36', 'ARTIGO_25', 'ARTIGO_22', 'ARTIGO_34', 'ARTIGO_38', 'ARTIGO_5', 'ARTIGO_43', 'ARTIGO_44', 'ARTIGO_20', 'ARTIGO_37']",0.0,0.0,0.0,0.04751896858215332
Como é feita a classificação de informações sigilosas?,"['ARTIGO_24', 'ARTIGO_25', 'ARTIGO_26', 'ARTIGO_27']","['ARTIGO_36', 'ARTIGO_25', 'ARTIGO_34', 'ARTIGO_22', 'ARTIGO_38', 'ARTIGO_5', 'ARTIGO_26', 'ARTIGO_6', 'ARTIGO_4', 'ARTIGO_30']",0.2,0.5,0.28571428571428575,0.05800056457519531
