pergunta,artigos_relevantes_esperados,artigos_encontrados,precision_at_5,recall_at_10,f1_score,tempo_resposta
O que é a Lei de Acesso à Informação?,"['ARTIGO_1', 'ARTIGO_2', 'PREAMBULO']","['ARTIGO_46', 'ARTIGO_42', 'ARTIGO_43', 'ARTIGO_38', 'ARTIGO_36', 'ARTIGO_5', 'ARTIGO_44', 'ARTIGO_14', 'ARTIGO_20', 'ARTIGO_3']",0.0,0.0,0.0,0.05700540542602539
Como solicitar informações públicas?,"['ARTIGO_10', 'ARTIGO_11', 'ARTIGO_12']","['ARTIGO_42', 'ARTIGO_36', 'ARTIGO_14', 'ARTIGO_43', 'ARTIGO_38', 'ARTIGO_44', 'ARTIGO_5', 'ARTIGO_46', 'ARTIGO_10', 'ARTIGO_20']",0.0,0.3333333333333333,0.0,0.04453420639038086
Qual o prazo para resposta do pedido de informação?,"['ARTIGO_11', 'ARTIGO_15', 'ARTIGO_16']","['ARTIGO_42', 'ARTIGO_46', 'ARTIGO_38', 'ARTIGO_36', 'ARTIGO_14', 'ARTIGO_15', 'ARTIGO_43', 'ARTIGO_5', 'ARTIGO_10', 'ARTIGO_126']",0.0,0.3333333333333333,0.0,0.05499744415283203
Quais informações podem ser negadas?,"['ARTIGO_21', 'ARTIGO_22', 'ARTIGO_23', 'ARTIGO_24']","['ARTIGO_31', 'ARTIGO_8', 'ARTIGO_32', 'ARTIGO_11', 'ARTIGO_24', 'ARTIGO_27', 'ARTIGO_7', 'ARTIGO_23', 'ARTIGO_39', 'ARTIGO_35']",0.2,0.5,0.28571428571428575,0.0735161304473877
Quem pode solicitar informações públicas?,"['ARTIGO_10', 'ARTIGO_11']","['ARTIGO_42', 'ARTIGO_36', 'ARTIGO_14', 'ARTIGO_43', 'ARTIGO_38', 'ARTIGO_46', 'ARTIGO_44', 'ARTIGO_5', 'ARTIGO_126', 'ARTIGO_10']",0.0,0.5,0.0,0.03999900817871094
Quais são as informações classificadas como sigilosas?,"['ARTIGO_23', 'ARTIGO_24', 'ARTIGO_25']","['ARTIGO_36', 'ARTIGO_46', 'ARTIGO_43', 'ARTIGO_44', 'ARTIGO_20', 'ARTIGO_38', 'ARTIGO_42', 'ARTIGO_25', 'ARTIGO_34', 'ARTIGO_5']",0.0,0.3333333333333333,0.0,0.04152631759643555
Quais são as penalidades para quem não cumprir a LAI?,"['ARTIGO_32', 'ARTIGO_33', 'ARTIGO_34']","['ARTIGO_31', 'ARTIGO_33', 'ARTIGO_32', 'ARTIGO_24', 'ARTIGO_46', 'ARTIGO_27', 'ARTIGO_8', 'ARTIGO_11', 'ARTIGO_7', 'ARTIGO_16']",0.4,0.6666666666666666,0.5,0.04799795150756836
Como recorrer de uma negativa de acesso à informação?,"['ARTIGO_15', 'ARTIGO_16', 'ARTIGO_17']","['ARTIGO_14', 'ARTIGO_36', 'ARTIGO_42', 'ARTIGO_5', 'ARTIGO_38', 'ARTIGO_43', 'ARTIGO_46', 'ARTIGO_15', 'ARTIGO_44', 'ARTIGO_126']",0.0,0.3333333333333333,0.0,0.06251263618469238
Quais são os prazos de sigilo das informações?,"['ARTIGO_24', 'ARTIGO_27', 'ARTIGO_28']","['ARTIGO_36', 'ARTIGO_46', 'ARTIGO_42', 'ARTIGO_38', 'ARTIGO_43', 'ARTIGO_44', 'ARTIGO_5', 'ARTIGO_20', 'ARTIGO_25', 'ARTIGO_28']",0.0,0.3333333333333333,0.0,0.06501245498657227
Como a LAI protege informações pessoais?,"['ARTIGO_31', 'ARTIGO_32']","['ARTIGO_31', 'ARTIGO_27', 'ARTIGO_35', 'ARTIGO_25', 'ARTIGO_4', 'ARTIGO_7', 'ARTIGO_24', 'ARTIGO_38', 'ARTIGO_36', 'ARTIGO_32']",0.2,1.0,0.33333333333333337,0.03553056716918945
