pergunta,artigos_relevantes_esperados,artigos_encontrados,precision_at_5,recall_at_10,f1_score,ndcg,mrr,tempo_resposta
O que é a Lei de Acesso à Informação?,"['ARTIGO_1', 'ARTIGO_2', 'PREAMBULO']","['ARTIGO_5', 'ARTIGO_20', 'ARTIGO_15', 'ARTIGO_3', 'ARTIGO_40', 'ARTIGO_13', 'ARTIGO_10', 'ARTIGO_43', 'ARTIGO_42', 'ARTIGO_38']",0.0,0.0,0.0,0.0,0.0,0.23989462852478027
Como solicitar informações públicas?,"['ARTIGO_10', 'ARTIGO_11', 'ARTIGO_12']","['ARTIGO_3', 'ARTIGO_13', 'ARTIGO_25', 'ARTIGO_29', 'ARTIGO_30', 'ARTIGO_43', 'ARTIGO_5', 'ARTIGO_20', 'ARTIGO_126', 'ARTIGO_42']",0.0,0.0,0.0,0.0,0.0,0.13022541999816895
Qual o prazo para resposta do pedido de informação?,"['ARTIGO_11', 'ARTIGO_15', 'ARTIGO_16']","['ARTIGO_28', 'ARTIGO_10', 'ARTIGO_15', 'ARTIGO_9', 'ARTIGO_42', 'ARTIGO_126', 'ARTIGO_43', 'ARTIGO_14', 'ARTIGO_5', 'ARTIGO_40']",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.3333333333333333,0.30823493003845215
Quais informações podem ser negadas?,"['ARTIGO_21', 'ARTIGO_22', 'ARTIGO_23', 'ARTIGO_24']","['ARTIGO_31', 'ARTIGO_32', 'ARTIGO_4', 'ARTIGO_7', 'ARTIGO_11', 'ARTIGO_27', 'ARTIGO_24', 'ARTIGO_16', 'ARTIGO_29', 'ARTIGO_8']",0.0,0.25,0.0,0.13012668333070054,0.14285714285714285,0.056841373443603516
Quem pode solicitar informações públicas?,"['ARTIGO_10', 'ARTIGO_11']","['ARTIGO_10', 'ARTIGO_13', 'ARTIGO_43', 'ARTIGO_126', 'ARTIGO_5', 'ARTIGO_42', 'ARTIGO_3', 'ARTIGO_20', 'ARTIGO_4', 'ARTIGO_36']",0.5,0.5,0.5,0.6131471927654584,1.0,0.06150984764099121
Quais são as informações classificadas como sigilosas?,"['ARTIGO_23', 'ARTIGO_24', 'ARTIGO_25']","['ARTIGO_3', 'ARTIGO_39', 'ARTIGO_29', 'ARTIGO_36', 'ARTIGO_23', 'ARTIGO_6', 'ARTIGO_25', 'ARTIGO_21', 'ARTIGO_15', 'ARTIGO_22']",0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3379680345449381,0.2,0.07452034950256348
Quais são as penalidades para quem não cumprir a LAI?,"['ARTIGO_32', 'ARTIGO_33', 'ARTIGO_34']","['ARTIGO_31', 'ARTIGO_16', 'ARTIGO_32', 'ARTIGO_33', 'ARTIGO_24', 'ARTIGO_8', 'ARTIGO_35', 'ARTIGO_7', 'ARTIGO_11', 'ARTIGO_27']",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4367467095119258,0.3333333333333333,0.04794430732727051
Como recorrer de uma negativa de acesso à informação?,"['ARTIGO_15', 'ARTIGO_16', 'ARTIGO_17']","['ARTIGO_15', 'ARTIGO_3', 'ARTIGO_14', 'ARTIGO_5', 'ARTIGO_16', 'ARTIGO_21', 'ARTIGO_20', 'ARTIGO_6', 'ARTIGO_13', 'ARTIGO_25']",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6508205185601091,1.0,0.16052651405334473
Quais são os prazos de sigilo das informações?,"['ARTIGO_24', 'ARTIGO_27', 'ARTIGO_28']","['ARTIGO_30', 'ARTIGO_3', 'ARTIGO_28', 'ARTIGO_29', 'ARTIGO_22', 'ARTIGO_20', 'ARTIGO_46', 'ARTIGO_37', 'ARTIGO_10', 'ARTIGO_34']",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.3333333333333333,0.19378232955932617
Como a LAI protege informações pessoais?,"['ARTIGO_31', 'ARTIGO_32']","['ARTIGO_31', 'ARTIGO_7', 'ARTIGO_27', 'ARTIGO_32', 'ARTIGO_8', 'ARTIGO_35', 'ARTIGO_24', 'ARTIGO_16', 'ARTIGO_39', 'ARTIGO_25']",1.0,1.0,1.0,0.8772153153380493,1.0,0.04335498809814453
Quais são os princípios da Lei de Acesso à Informação?,"['ARTIGO_3', 'ARTIGO_5', 'ARTIGO_6']","['ARTIGO_3', 'ARTIGO_46', 'ARTIGO_10', 'ARTIGO_34', 'ARTIGO_43', 'ARTIGO_42', 'ARTIGO_5', 'ARTIGO_20', 'ARTIGO_12', 'ARTIGO_44']",0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6257049680303419,1.0,0.11403870582580566
O que são informações sigilosas segundo a LAI?,"['ARTIGO_4', 'ARTIGO_23', 'ARTIGO_24']","['ARTIGO_25', 'ARTIGO_28', 'ARTIGO_34', 'ARTIGO_10', 'ARTIGO_5', 'ARTIGO_13', 'ARTIGO_15', 'ARTIGO_4', 'ARTIGO_26', 'ARTIGO_35']",0.0,0.3333333333333333,0.0,0.1480409554829326,0.125,0.0715646743774414
Como é feita a classificação de informações sigilosas?,"['ARTIGO_24', 'ARTIGO_25', 'ARTIGO_26', 'ARTIGO_27']","['ARTIGO_3', 'ARTIGO_13', 'ARTIGO_25', 'ARTIGO_43', 'ARTIGO_30', 'ARTIGO_29', 'ARTIGO_20', 'ARTIGO_34', 'ARTIGO_126', 'ARTIGO_5']",0.25,0.25,0.25,0.19519002499605084,0.3333333333333333,0.0791475772857666
Quais são os direitos do cidadão garantidos pela LAI?,"['ARTIGO_7', 'ARTIGO_8', 'ARTIGO_9', 'ARTIGO_10']","['ARTIGO_3', 'ARTIGO_28', 'ARTIGO_10', 'ARTIGO_1', 'ARTIGO_43', 'ARTIGO_5', 'ARTIGO_46', 'ARTIGO_12', 'ARTIGO_12', 'ARTIGO_126']",0.25,0.25,0.25,0.19519002499605084,0.3333333333333333,0.08987283706665039
Quais informações devem ser divulgadas proativamente pelos órgãos públicos?,"['ARTIGO_8', 'ARTIGO_9']","['ARTIGO_7', 'ARTIGO_27', 'ARTIGO_32', 'ARTIGO_31', 'ARTIGO_16', 'ARTIGO_11', 'ARTIGO_8', 'ARTIGO_3', 'ARTIGO_24', 'ARTIGO_4']",0.0,0.5,0.0,0.20438239758848611,0.14285714285714285,0.04319405555725098
Como funciona o recurso em caso de negativa de acesso à informação?,"['ARTIGO_15', 'ARTIGO_16', 'ARTIGO_17', 'ARTIGO_18', 'ARTIGO_19']","['ARTIGO_15', 'ARTIGO_3', 'ARTIGO_5', 'ARTIGO_13', 'ARTIGO_14', 'ARTIGO_9', 'ARTIGO_34', 'ARTIGO_29', 'ARTIGO_28', 'ARTIGO_126']",0.2,0.2,0.20000000000000004,0.3391602052736161,1.0,0.1926860809326172
Quais são as responsabilidades dos órgãos públicos em relação à LAI?,"['ARTIGO_6', 'ARTIGO_7', 'ARTIGO_8', 'ARTIGO_9']","['ARTIGO_3', 'ARTIGO_29', 'ARTIGO_21', 'ARTIGO_26', 'ARTIGO_12', 'ARTIGO_126', 'ARTIGO_5', 'ARTIGO_30', 'ARTIGO_6', 'ARTIGO_36']",0.0,0.25,0.0,0.11751610475642714,0.1111111111111111,0.0759744644165039
Como é tratada a informação pessoal pela LAI?,"['ARTIGO_4', 'ARTIGO_31']","['ARTIGO_3', 'ARTIGO_34', 'ARTIGO_29', 'ARTIGO_43', 'ARTIGO_126', 'ARTIGO_15', 'ARTIGO_46', 'ARTIGO_25', 'ARTIGO_38', 'ARTIGO_42']",0.0,0.0,0.0,0.0,0.0,0.06196260452270508
Qual a diferença entre informação sigilosa e informação pessoal?,"['ARTIGO_4', 'ARTIGO_23', 'ARTIGO_31']","['ARTIGO_34', 'ARTIGO_25', 'ARTIGO_28', 'ARTIGO_6', 'ARTIGO_16', 'ARTIGO_3', 'ARTIGO_7', 'ARTIGO_4', 'ARTIGO_10', 'ARTIGO_9']",0.0,0.3333333333333333,0.0,0.1480409554829326,0.125,0.04847311973571777
Como solicitar a desclassificação de uma informação sigilosa?,"['ARTIGO_17', 'ARTIGO_29', 'ARTIGO_30']","['ARTIGO_3', 'ARTIGO_13', 'ARTIGO_25', 'ARTIGO_17', 'ARTIGO_29', 'ARTIGO_30', 'ARTIGO_16', 'ARTIGO_43', 'ARTIGO_10', 'ARTIGO_126']",0.6666666666666666,1.0,0.8,0.5508095940041026,0.25,0.05888199806213379
