pergunta,artigos_relevantes_esperados,artigos_encontrados,precision_at_5,recall_at_10,f1_score,ndcg,mrr,tempo_resposta
O que é a Lei de Acesso à Informação?,"['ARTIGO_1', 'ARTIGO_2', 'PREAMBULO']","['ARTIGO_46', 'ARTIGO_20', 'ARTIGO_43', 'ARTIGO_42', 'ARTIGO_40', 'ARTIGO_44', 'ARTIGO_5', 'ARTIGO_38', 'ARTIGO_3', 'ARTIGO_16']",0.0,0.0,0.0,0.0,0.0,0.003998994827270508
Como solicitar informações públicas?,"['ARTIGO_10', 'ARTIGO_11', 'ARTIGO_12']","['ARTIGO_13', 'ARTIGO_3', 'ARTIGO_25', 'ARTIGO_39', 'ARTIGO_24', 'ARTIGO_23', 'ARTIGO_16', 'ARTIGO_7', 'ARTIGO_35', 'ARTIGO_31']",0.0,0.0,0.0,0.0,0.0,0.0019981861114501953
Qual o prazo para resposta do pedido de informação?,"['ARTIGO_11', 'ARTIGO_15', 'ARTIGO_16']","['ARTIGO_11', 'ARTIGO_10', 'ARTIGO_16', 'ARTIGO_42', 'ARTIGO_15', 'ARTIGO_9', 'ARTIGO_7', 'ARTIGO_17', 'ARTIGO_29', 'ARTIGO_39']",0.6,1.0,0.7499999999999999,0.8854598815714874,1.0,0.002001523971557617
Quais informações podem ser negadas?,"['ARTIGO_21', 'ARTIGO_22', 'ARTIGO_23', 'ARTIGO_24']","['ARTIGO_4', 'ARTIGO_37', 'ARTIGO_21', 'ARTIGO_16', 'ARTIGO_126', 'ARTIGO_11', 'ARTIGO_24', 'ARTIGO_18', 'ARTIGO_28', 'ARTIGO_13']",0.2,0.5,0.28571428571428575,0.32531670832675136,0.3333333333333333,0.0009996891021728516
Quem pode solicitar informações públicas?,"['ARTIGO_10', 'ARTIGO_11']","['ARTIGO_13', 'ARTIGO_10', 'ARTIGO_16', 'ARTIGO_4', 'ARTIGO_44', 'ARTIGO_116', 'ARTIGO_45', 'ARTIGO_126', 'ARTIGO_41', 'ARTIGO_40']",0.2,0.5,0.28571428571428575,0.38685280723454163,0.5,0.0010001659393310547
Quais são as informações classificadas como sigilosas?,"['ARTIGO_23', 'ARTIGO_24', 'ARTIGO_25']","['ARTIGO_39', 'ARTIGO_24', 'ARTIGO_30', 'ARTIGO_26', 'ARTIGO_37', 'ARTIGO_25', 'ARTIGO_35', 'ARTIGO_34', 'ARTIGO_3', 'ARTIGO_23']",0.2,1.0,0.33333333333333337,0.5988943393645153,0.5,0.002000093460083008
Quais são as penalidades para quem não cumprir a LAI?,"['ARTIGO_32', 'ARTIGO_33', 'ARTIGO_34']","['ARTIGO_16', 'ARTIGO_37', 'ARTIGO_26', 'ARTIGO_116', 'ARTIGO_31', 'ARTIGO_2', 'ARTIGO_40', 'ARTIGO_11', 'ARTIGO_8', 'ARTIGO_32']",0.0,0.3333333333333333,0.0,0.13565197343244778,0.1,0.0020046234130859375
Como recorrer de uma negativa de acesso à informação?,"['ARTIGO_15', 'ARTIGO_16', 'ARTIGO_17']","['ARTIGO_14', 'ARTIGO_15', 'ARTIGO_16', 'ARTIGO_7', 'ARTIGO_17', 'ARTIGO_5', 'ARTIGO_9', 'ARTIGO_20', 'ARTIGO_10', 'ARTIGO_6']",0.6,1.0,0.7499999999999999,0.7122630665145961,0.5,0.0019998550415039062
Quais são os prazos de sigilo das informações?,"['ARTIGO_24', 'ARTIGO_27', 'ARTIGO_28']","['ARTIGO_22', 'ARTIGO_29', 'ARTIGO_28', 'ARTIGO_24', 'ARTIGO_35', 'ARTIGO_39', 'ARTIGO_30', 'ARTIGO_3', 'ARTIGO_27', 'ARTIGO_16']",0.4,1.0,0.5714285714285715,0.5780136823717549,0.3333333333333333,0.001997232437133789
Como a LAI protege informações pessoais?,"['ARTIGO_31', 'ARTIGO_32']","['ARTIGO_25', 'ARTIGO_30', 'ARTIGO_31', 'ARTIGO_34', 'ARTIGO_3', 'ARTIGO_39', 'ARTIGO_24', 'ARTIGO_23', 'ARTIGO_16', 'ARTIGO_7']",0.2,0.5,0.28571428571428575,0.3065735963827292,0.3333333333333333,0.000997781753540039
