ENTIDADE,FREQUENCIA
Pais,2
Casa Civil Subchefia para Assuntos Juridicos LEI,1
DE 18 DE NOVEMBRO DE 2011,1
Constituicao,1
Federal,1
PRESIDENTA,1
Congresso Nacional,1
Uniao,1
Presidencia da Republica,1
Estados,1
Distrito Federal,1
Constituicao Federal,1
Municipios,1
Legislativo,1
Cortes de Contas,1
Judiciario,1
Poderes Executivo,1
subvencoes,1
contrato de gestao,1
Estado,1
pessoa fisica,1
prestacoes,1
VETADO,1
internet,1
Ministerio Publico,1
Convencao sobre os Direitos das Pessoas com Deficiencia,1
Decreto Legislativo,1
Lei Complementar,1
Lei de Responsabilidade Fiscal,1
Estara,1
SS 2o Estara,1
Poder Executivo Federal,1
Controladoria-Geral da Uniao,1
Comissao Mista de Reavaliacao de Informacoes,1
Ministro de Estado da area,1
Forcas Armadas,1
Comando.,1
Poderes Legislativo e Judiciario,1
Poder Judiciario,1
Conselho Nacional de Justica,1
telefonica,1
Conselho Nacional do Ministerio Publico,1
Gerais,1
Presidente,1
Vice-Presidente da Republica,1
Controle de Informacoes Sigilosas,1
Regulamento,1
Reclassificacao,1
Desclassificacao,1
Presidente da Republica,1
Ministros de,1
Comandantes da Marinha,1
Exercito,1
Aeronautica,1
Chefes de Missoes Diplomaticas,1
Consulares,1
fundacoes,1
Assessoramento Superiores,1
subdelegacao,1
razao do exercicio,1
analise,1
sancao,1
Gabinete de Seguranca Institucional da Presidencia da Republica,1
Nucleo de Seguranca e Credenciamento,1
Republica Federativa do Brasil,1
Ministerio das Relacoes Exteriores,1
Congresso Nacional de relatorio,1
Poder Executivo,1
Brasilia,1
Independencia,1
ROUSSEFF Jose Eduardo Cardoso,1
Celso Luiz Nunes Amorim Antonio de Aguiar Patriota Miriam Belchior Paulo Bernardo Silva Gleisi Hoffmann Jose Elito Carvalho Siqueira Helena Chagas Luis Inacio Lucena Adams,1
Jorge Hage Sobrinho Maria do Rosario Nunes,1
