texto	label
PREAMBULO	ORG
Presidencia da Republica	MISC
Casa Civil Subchefia para Assuntos Juridicos LEI	PER
DE 18 DE NOVEMBRO DE 2011	MISC
Mensagem de veto Vigencia Regulamento Regula	MISC
inciso XXXIII	MISC
inciso II do SS 3o	MISC
SS	ORG
Constituicao	MISC
Federal	LOC
Lei	MISC
Lei	MISC
Lei	MISC
PRESIDENTA	MISC
Congresso Nacional	LOC
Lei: CAPITULO I DISPOSICOES GERAIS	MISC
ARTIGO_1	MISC
Lei	MISC
Uniao	ORG
Estados	LOC
Distrito Federal	LOC
Municipios	LOC
inciso XXXIII	MISC
inciso II do SS 3o	MISC
SS	ORG
Constituicao Federal	MISC
Lei: I	MISC
Poderes Executivo	ORG
Legislativo	ORG
Cortes de Contas	LOC
Judiciario	LOC
Ministerio Publico	ORG
Uniao	ORG
Estados	LOC
Distrito Federal	LOC
Municipios	LOC
ARTIGO_2	MISC
Lei	MISC
subvencoes	MISC
contrato de gestao	MISC
ARTIGO_3	PER
Lei	MISC
solicitacoes	PER
III	MISC
V	MISC
administracao	LOC
ARTIGO_4]
Art. 4o	MISC
Lei	MISC
III	MISC
Estado	LOC
modificacoes	MISC
ARTIGO_5	PER
Estado	LOC
CAPITULO II	MISC
ARTIGO_6	PER
III	MISC
ARTIGO_7	MISC
Lei	MISC
III	MISC
pessoa fisica	PER
V	MISC
VII	MISC
prestacoes	LOC
VETADO	MISC
Lei	MISC
SS	ORG
Estado	LOC
SS	ORG
SS	ORG
SS	ORG
Lei	MISC
SS	ORG
SS	ORG
SS	ORG
ARTIGO_8	LOC
SS	ORG
III	MISC
V	MISC
SS	ORG
internet	MISC
SS	ORG
SS 2o	ORG
I	MISC
III	MISC
V	MISC
telefonica	ORG
Lei	MISC
Convencao sobre os Direitos das Pessoas com Deficiencia	MISC
Decreto Legislativo	ORG
SS	ORG
Municipios	LOC
internet	MISC
SS 2o	ORG
Lei Complementar	LOC
Lei de Responsabilidade Fiscal	MISC
ARTIGO_9	LOC
CAPITULO III DO PROCEDIMENTO DE ACESSO	MISC
ARTIGO_10	MISC
Lei	MISC
SS	ORG
SS	ORG
SS	ORG
ARTIGO_11	MISC
SS 1o	ORG
III	MISC
SS	ORG
SS	ORG
SS	ORG
SS	ORG
SS	ORG
SS	ORG
ARTIGO_12	ORG
Vide Lei	LOC
Vigencia)	MISC
Estara	PER
Lei	MISC
ARTIGO_12	ORG
Redacao dada pela Lei	MISC
Vigencia	LOC
SS	ORG
Lei	MISC
